reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at
006ae9c8-a1c0-4f3b-afa7-8e22398b2818,Pengguna Google,"Game simple yang membuat ketagihan.Walau banyak game yang menggunakan konsep seperti game block blast,tetapi tetap game ini yang paling mengasikan.Kekurangannya cuma 1,blocknya kurang bervariasi dan polanya itu² aja,apalagi di mode endless.",5,4244,6.7.7,2025-03-30 14:45:35
f8e2f15d-8a28-4e0a-a7c7-68835a6fd849,Pengguna Google,"game nya seru....!!!! banget, tapi dikit-dikit iklan dikit-dikit iklan apalah minimal iklan sekali berapa menit itu ada iklan masak setiap kalah ada iklan iklan iklan, iklan aaja terus cape gw, ya kalau ga mau matiin aja datanya, kan nanti ada pesan gimana lagi seru serunya pesan kita ga masuk gara gara mainin block blast ini kebanyakan iklan maruk ga si lu mentang Y game nya banyak yg main ih uyyy dasar",3,205,6.7.8,2025-03-31 17:58:54
d9ce6c74-b76a-4ee3-bf0f-a31e261785e9,Pengguna Google,"sudah di update, tapi penilaian poin setiap handphone sepertinya memang beda. punya teman ada conventinya, punya saya kalau mau lanjut combo maximal 3 penempatan block sudah hilang. punya teman 6 penempatan block masih bisa lanjut combonya. NOT FAIR",2,596,6.6.2,2025-03-09 10:40:01
bf8a9cd5-f560-4f75-bd4a-ca48c782fca8,Pengguna Google,"Gamenya seru banget aku juga suka Menang terus tapi tolong ilangin iklan nya yah pas pake Kouta tuh selalu banyak iklan, tapi gpp yang penting gamenya seru makasih yang udh buat Block Blast game ini seru bgt apalagi Abang sama om aku juga pada main, game ini, game ini cocok untuk meredakan stres udah segitu aja pesan dari aku bye👋🏻.................",5,1234,6.7.8,2025-04-02 07:13:13
b66b4192-ed11-4189-be6c-42fc9defa48f,Pengguna Google,"sumpah ini game populer banget anak² satu desa ku kalo lagi susah sinyal pasti ngumpul ditempat tongkrongan mainnya ini,tapi ada satu kekurangan kalo pas lagi oflline kok tiba² ada iklan tapi gpp tetep seru kok gamenya,semoga bisa berkembang,terus tambahin game m9de online biar bisa by one banyak² kan poin gitu bareng temen..😊😊",5,3641,6.6.7,2025-03-21 05:22:14
7eb5ccd7-e64c-4adf-a8f3-da347b439438,Pengguna Google,"Gamenya enjoy banget emang.., tapi tolong deh developer, masa iya ada momen dimana block-nya bener"" ga bisa di taruh semua (cuma 1 block yg muat ditaruh, itupun cuma di satu tempat, maka ga ada barisan yg bisa hancur, dan otomatis kalah karena ada sisa 2 block). Kalau emang itu fitur gamenya ya okelah, tapi kalau itu terjadi tanpa disengaja ya mohon diperbaiki.. Thanks Developer.. 🙏😇",3,168,6.7.6,2025-03-29 18:30:47
73c13d9b-2033-4394-89d1-72b0b97e0fb6,Pengguna Google,game nya seru.. apalagi bisa dimainin offline buat anak wifi kayak aku jadi ga khawatir dehh kalau pergi jauh terus ga ada kuota tinggal main ini ajaa.. cuma aku rekomendasi buat orang-orang yg dapet bug di hapus aja takutnya aku makin iri soalnya 🗿🤭.. sama tambah satu mode lagi.. mode yg bisa main sama temen.. tapi khusus mode ituu online.. pliss turutin yaa,5,11183,6.6.9,2025-03-22 10:19:28
44a7ee41-88de-4bc3-ad24-990d6506089f,Pengguna Google,"seru sih gamenya,tapi...,kadang kalau mau letak block terus mau pindah block nya ke tempat lain malah ke letak di tempat itu kan jadi kesal terus block lain mau di letak jadi salah terus kalah deh itu udah sering banget terjadi",3,3,6.8.1,2025-04-03 10:25:34
e0e7cbfa-5944-453d-bd5d-93c0e46a241f,Pengguna Google,"At least, kasih block yg memungkinkan bisa terus bertahan, jangan kyk udh jauh tapi udh sempit di kasih block yg gak muat, cuma di kasih 1 yg muat itu pun cuma bisa di taruh 1 tempat yang block yg di taruh itu juga GK ngancurin block yg lain, yg artinya mustahil buat dapet skor sebanyak banyaknya padahal udh teliti banget, gw bahkan nanya AI buat kasih tau cara selesainnya, AI nya aj bingung apa lagi gw, jadi, pls kasih celah buat menang, gw cape KLO udah skornya jauh di kasih block yg mustahil.",2,17,6.7.9,2025-04-02 09:10:51
06641370-5ed8-4a4d-9f59-87123be1b7e3,Pengguna Google,"Block Blast adalah permainan puzzle yang menyenangkan dan adiktif yang cocok untuk pemain yang mencari hiburan santai dan latihan otak. Dengan gameplay yang sederhana dan berbagai fitur menarik, permainan ini layak untuk dicoba.",5,476,6.6.2,2025-03-14 03:33:40
a3384208-7dc1-4d8c-bd40-b8f597c9c56c,Pengguna Google,"Dulu game nya gapernah viral,eh sekarang makin menjadi-jadi karena seru banyak banget yang mainin game ini offline kok cuma kesel aja kalo score nya sudah banyak eh malah gaada tempat untuk nyimpan blok nya. tapi jujur bagus untuk dimainkan saat sedang offline, ga ngelag! ofc game lain disini jg ada yg adventure sama game lainnya oke.",5,8880,6.6.8,2025-03-22 22:15:57
9070b29b-64fa-4181-8d80-c37e9b9188f5,Pengguna Google,"Untuk permainannya cukup seru ada variasi untuk bermain dalam mode bebas dan juga banyak level yang juga membuat para pemain jadi berpikir agar dapat menyelesaikan dengan cepat, tapi tolong tambahkan mode lainnya misalnya seperti mode menghilang di mana saat menaruh blok akan hilang sehingga pemain harus mengingat letak blok yang sebelumnya dipasang, Terimakasih Developer!",5,2505,6.4.1,2025-02-05 14:30:58
229c23ee-f0c9-41c3-9786-19bf4965b00d,Pengguna Google,"Lumayan sangat susah utk di mode adventure, gamenya memang bagus sih tapi sangat susah di mode tersebut, sedangkan di mode classic (unlimited) sangat gampang tapi utk mengalahkan skor tertinggi aja selalu susah, padahal yg membuat skor tertinggi adalah gw loh, kok bisa kalah terus sama skor gw yg paling tinggi🗿",5,2542,6.4.0,2025-01-25 08:42:50
bbe9b6a1-3c39-4abb-b659-6f1953f10dd7,Pengguna Google,"game nya bagus. cuman kurangin dikit iklan nya, dan tolong tambahkan fitur main bareng(mabar) sama teman, bisa offline bisa juga online, biar semakin seru, dan juga tambahkan lagu agar teman"" nyaman main game block blast.",4,214,6.6.7,2025-03-20 06:29:15
2299ff0d-b113-4e92-951d-a2c57bda6b36,Pengguna Google,gamenya bagus dan seru tapi gak ada skor kaya yang ke 1 ke 2 ke 3 sampai ke 99 gitu saya mohon tambahin dan bisa masuk misalnya ke 1 indonesia atau dengan wilayah sendiri saya mohon untuk di tambahin biar lebih semangat lagi ngejar skor nya,5,8,6.7.8,2025-04-01 19:25:07
b59b5e0c-9cff-442c-b709-c213f8fa9bb5,Pengguna Google,"Awalnya ini game puzzle biasa-biasa saja. Tapi game ini selalu muncul di beranda TikTok saya terus. Ya saya awalnya biasa aja karna cuma puzzle biasa doanglah. tapi, lama-lama aku mulai kesal karena game ini selalu muncul di beranda TikTok saya Mulu. Lalu setelah itu aku download gamenya dan ternyata seru sekali!!!. Gamenya juga bisa dimainkan secara offline!!!.",5,2027,6.7.5,2025-03-28 14:58:51
005f7f29-f9d7-4479-a924-5bfdb3bbac38,Pengguna Google,"entah ini bug atau memang di sengajai, di awal2 main memang diberikan kemudahan, tapi ketika udah mencapai skor yg tinggi, pola nya bakal berubah. penempatan box nya bakal di persulit dan kadang dapat box yg ga ada chance buat memang/ ke tahap selanjutnya. saya rasa ini memang di set up sedemikian rupa, karna sumber pemasukan app ini hanya di iklan, tapi ini cukup menjengkelkan! mungkin kedepannya bisa dibuat sistem membership atau ll, biar revenue tidak bergantung di ads saja",2,259,6.6.6,2025-03-19 22:30:09
6a2b77cc-1c8e-4d8b-87f2-667e9dbf84bf,Pengguna Google,"seru tapi knp punya ku kadang agak aneh bentuk nya sama klw lagi main tiba tiba ngestuck di angka 3000 terus jadi kadang males maininnya, bosen soalnya liat angka 3 mulu, dan kalau bisa update sekali lagi ada tempat buat ganti warna block biar makin semangat mainnyaa sama ada menyala menyala nya gitu pas di bagian ampelibebel",5,54,6.7.7,2025-03-29 09:43:59
2a175594-1f41-4e6e-bfeb-a719ce22485c,Pengguna Google,"game nya menyerukan sekali ,,, bikin ketagihan,, game ini juga bisa melatih otak kita untuk berpikir menata kotak² tersebut ,, dengan warna² yang bagus membuat kita lebih tertarik ,, game nya juga menantangg ,, seruuuuuu pwoll👍👍",5,76,6.7.0,2025-03-26 15:29:57
d6ef9ea3-f558-4ebf-a5a5-1323a7fad8d5,Pengguna Google,"sangat seru.... awalnya saya coba main di HP cici saya ternyata seru bikin ketagihan!! cocok buat yg ga punya data/habis datanya bosan tinggal main ini!! awalnya saya tidak tertarik untuk mempunyai di hp saya tp di tiktok selalu #fypp trs..... lalu saya mengunduh game ini sangat seru!! #minggu30-03-2025, 22.03",5,42,6.7.7,2025-03-30 15:03:12
3ca23837-a54d-45ec-8dc3-5d918e5ac9c1,Pengguna Google,seru sih cuma ada sesuatu yang aneh kan saya main mode anvanture tiba2 saya mengalami sesuatu yang aneh tiba tiba skor saya dapet 2.000 lebih 567 terus tu saya cek dari sananya disuruh 900 it's oke gak papa kalian hapus block blast aja untuk yang bisa bug nya🤭👊🏻saya coba coba tidak bisa hihi😊,5,1,6.7.9,2025-04-03 00:10:31
5166f5f4-22a4-4af1-9ff4-ef62e1dd060b,Pengguna Google,"seru banget apalagi ini offline jadi bisa dimainin kapan aja dan seru kalo lagi santai atau pun gabut gitu..........., tapi kekurangan nya itu pasti klo kalah langsung iklan jadi agak nyebelin dikit,... tp gpp krn game nya sangat seru👍👍",5,32,6.7.7,2025-03-31 02:14:24
db1f3472-20fb-4e60-afdd-30fbc587f342,Pengguna Google,Block Blast adalah permainan puzzle blok gratis dan populer. Bisa jadi pilihan terbaik ketika ingin menghabiskan waktu santai dan menantang otak. Tujuan dari permainan puzzle blok ini mudah namun menyenangkan: cocokkan dan bersihkan sebanyak mungkin blok berwarna di papan.,5,2562,6.5.8,2025-03-20 05:13:12
63885468-f9be-4d42-ac0a-a42640284778,Pengguna Google,game nya seru bikin ketagihan. cuman yang paling ngeselin adalah ketika game over pasti ada iklan dan iklannya SELALU nge bug dan layarnya hitam. jadinya harus keluar dulu trs masuk lagi. ngeseli banget. jadinya kadang mainnya ga pake wifi/kuota biar ga ada iklan. Seru sih cuman itu aja kurangnyaa.,5,9094,6.5.1,2025-02-27 09:32:15
2401b6b0-9909-45f3-abd0-944d64f113de,Pengguna Google,game nya seru bgt buat di mainin dan ga lag juga bisa kalo kita gabut buat main pokok nya ini seru baget deh kalian wajib coba ini si tapi kan kata bisa mabar tapi gimana cara nya ga kasih tau dong🤙👌✋ gimana cara nya semoga ulasan nya membantu ya teman teman,5,55,6.7.6,2025-03-29 05:32:21
8c1761a4-4e34-4405-9435-ba1777cfca3a,Pengguna Google,"Game pilih kasih, di android sama di iPhone beda, kalo di android 4000+ block nya suka stuck. Kalo di iPhone sampai 100000+ juga ga akan stuck asal bisa mikirin jalannya plus efeknya lebih bagus di iPhone dari pada android",1,206,6.6.9,2025-03-21 16:20:48
f6bcec61-df46-43a4-89eb-a5742fef330f,Pengguna Google,"gamenya bagus dan keren, cuma ada bug nya waktu di iklan toko or*n, itu tiba"" layar saya ngeblank jadi hitam dan tidak bisa di mainkan, harus relog terlebih dahulu, mohon bug nya di benerin dulu ya🙏🏻",5,4767,6.4.8,2025-02-19 13:01:16
5cfe7ab3-7b27-4386-b1ea-425e811b1ca0,Pengguna Google,Block Blast adalah permainan teka-teki blok yang luar biasa! Saya sangat menyukai gameplay-nya yang sederhana namun mengasyikkan. Tujuan permainan ini sangat jelas dan menantang: hapus sebanyak mungkin blok untuk mendapatkan skor tertinggi. Saya juga sangat menyukai dua mode permainan yang ditawarkan: mode teka-teki blok klasik dan mode petualangan blok. Keduanya menawarkan keseruan yang tak terbatas dan membuat saya ingin terus memainkannya. Bintang 5 Dari saya!!!!!,5,7717,6.5.7,2025-03-04 14:58:07
a3574db3-833d-459a-b442-f6d5d717dab2,Pengguna Google,"Game ini bagus banget ini baru yang namanya beneran satisfying dan orang yang mainin pun pasti satisfied karena game nya cuman harus dapetin high score sama ada kalah nya kalau menang kita dapetin new high scor sejauh ini gak ada bug.tapi untuk game seperti ini sudah sangat bagus bisa offline dan online tapi minus nya game ini ada iklan nya coy, plis banget nih buat developer hapus iklannya dong kalau mau hapus iklan harus banget beli, udah itu aja si semoga block blast ditingkatkan lagi ya👏🙏.",5,71,6.6.2,2025-03-11 06:11:08
125c8983-0ab5-4399-9c0c-201c7888e3b6,Pengguna Google,"game nya seru bangett,cocok banget di mainin saat gabut,tapi kenapa game ini gampang di inget sih😭 ,lagi ngalamun aja ngebayangin game ini,tapi aku suka game ini ,soalnya seru bangetttt,bagus buat di rekomendasiin untuk orang yang sering gabut😁😁😁😁😁😁",5,5,6.7.8,2025-04-01 06:19:43
74f36c68-ccef-4711-9fc4-6bb19fd83921,Pengguna Google,"Seru banget bisa menghilangkan bosan. Jangan ragu buat instal, game ini udah lah offline seru banyak tantangan dan lainnya pokoknya keren game ini. tapi ingat waktu. Boleh main sepuasnya dan jangan lupa ingat waktu untuk melakukan yang lebih baik.",4,3,6.7.8,2025-04-02 13:26:14
82e96565-f4fd-4203-8f1e-556393c96dfe,Pengguna Google,game ini dulu gak pernah viral sakarang malah banyak yang mainin game ini juga offline game ini juga kadang-kadang bikin kesel kadang kalo score nya udah gede atau masih kecil pasti gak ada tempat yang bisa buat taruh blok nya itu yang bikin kesel kadang kalo score nya udah gede misalnya 600000 ribu kalo salah naro pasti kesel banget,5,20,6.7.7,2025-03-29 21:31:51
63c471c9-d68b-46ad-956a-1cd421ff2efb,Pengguna Google,"kenapa update di hp tertentu berbeda-beda? padahal versinya sama dan saya lebih dulu ngedownload gamenya tapi updatenya paling belakang. Contohnya setiap saya nyusun block, scorenya naiknya dikit dan lama, sedangkan di hp saya yang lainnya cepat.",4,16,6.7.7,2025-03-31 11:45:08
64e4f36d-b8d3-496b-a9a9-74e4c5c7ae8e,Pengguna Google,gamenya seru banget! apalagi ini kan offline jadi cocok banget dimainin pas nggak ada internet atau lagi di luar gitu loh ngerti nggak sih asik banget! aku tuh anaknya suka main keluar dan jarang beli kuota jadi aku tuh cocok banget main game ini 💝,5,2,6.7.9,2025-04-02 03:49:29
